item,n_i
1602,189
1603,55
1604,96
1605,197
1606,360
1607,404
1608,927
1609,1332
1610,234
1611,451
1612,143
1613,368
1614,544
1615,35
1616,99
1617,108
1618,214
1619,319
1620,513
1621,632
1622,68
1623,337
1624,63
1625,109
1626,292
1627,150
1628,702
1629,775
1630,48
1631,276
1632,509
1633,198
1634,35
1635,92
1636,289
1637,1058
1638,432
1639,120
1640,772
1641,463
1642,303
1643,607
1644,425
1645,172
1646,247
1647,483
1648,235
1649,511
1650,100
1651,290
1652,115
1653,448
1654,374
1655,108
1656,1308
1657,239
1658,198
1659,259
1660,700
1661,1465
1662,217
1663,834
1664,444
1665,657
1666,375
1667,250
1668,65
1669,37
1670,227
1671,305
1672,952
1673,655
1674,1152
1675,477
1676,274
1677,197
1678,742
1679,433
1680,1072
1681,560
1682,368
1683,119
1684,407
1685,723
1686,32
1687,170
1688,74
1689,240
1690,573
1691,129
1692,23
1693,76
1694,580
1695,184
1696,235
1697,226
1698,35
1699,621
1700,305
1701,342
1702,223
1703,249
1704,160
1705,298
1706,112
1707,73
1708,670
1709,287
1710,101
1711,164
1712,130
1713,160
1714,225
1715,441
1716,782
1717,190
1718,614
1719,738
1720,63
1721,48
1722,93
1723,630
1724,319
1725,825
1726,445
1727,230
1728,750
1729,1458
1730,553
1731,305
1732,658
1733,26
1734,358
1735,955
1736,99
1737,869
1738,235
1739,132
1740,225
1741,67
1742,17
1743,350
1744,221
1745,760
1746,302
1747,1130
1748,107
1749,358
1750,191
1751,31
1752,421
1753,559
1754,2206
1755,43
1756,426
1757,202
1758,616
1759,114
1760,509
1761,260
1762,616
1763,424
1764,50
1765,259
1766,1464
1767,129
1768,185
1769,286
1770,384
1771,160
1772,637
1773,629
1774,924
1775,274
1776,451
1777,326
1778,170
1779,97
1780,295
1781,972
1782,228
1783,202
1784,57
1785,118
1786,67
1787,214
1788,89
1789,233
1790,56
1791,1471
1792,669
1793,54
1794,79
1795,395
1796,229
1797,169
1798,323
1799,853
1800,157
1801,46
1802,171
1803,338
1804,639
1805,254
1806,468
1807,2438
1808,393
1809,277
1810,289
1811,274
1812,49
1813,568
1814,108
1815,356
1816,409
1817,81
1818,946
1819,757
1820,424
1821,1107
1822,1520
1823,904
1824,108
1825,154
1826,369
1827,410
1828,124
1829,148
1830,193
1831,281
1832,229
1833,242
1834,161
1835,68
1836,255
1837,476
1838,885
1839,469
1840,1263
1841,269
1842,751
1843,261
1844,429
1845,52
1846,812
1847,670
1848,90
1849,783
1850,298
1851,488
1852,239
1853,362
1854,464
1855,205
1856,376
1857,629
1858,75
1859,64
1860,37
1861,11
1862,131
1863,212
1864,101
1865,113
1866,153
1867,401
1868,268
1869,283
1870,593
1871,27
1872,464
1873,212
1874,508
1875,627
1876,228
1877,349
1878,840
1879,192
1880,283
1881,596
1882,275
1883,957
1884,224
1885,376
1886,150
1887,72
1888,440
1889,619
1890,253
1891,934
1892,181
1893,113
1894,7
1895,176
1896,441
1897,142
1898,407
1899,57
1900,103
1901,524
1902,56
1903,160
1904,14
1905,125
1906,187
1907,435
1908,156
1909,309
1910,364
1911,594
1912,641
1913,1752
1914,812
1915,117
1916,40
1917,110
1918,78
1919,257
1920,280
1921,532
1922,332
1923,48
1924,26
1925,710
1926,934
1927,147
1928,472
1929,177
1930,62
1931,536
1932,228
1933,1195
1934,139
1935,350
1936,194
1937,46
1938,133
1939,397
1940,202
1941,812
1942,893
1943,266
1944,270
1945,321
1946,272
1947,216
1948,11
1949,242
1950,1220
1951,121
1952,728
1953,68
1954,338
1955,463
1956,669
1957,114
1958,159
1959,637
1960,307
1961,269
1962,894
1963,413
1964,176
1965,377
1966,330
1967,141
1968,848
1969,91
1970,322
1971,313
1972,338
1973,39
1974,46
1975,874
1976,199
1977,62
1978,371
1979,43
1980,470
1981,261
1982,562
1983,618
1984,251
1985,737
1986,83
1987,339
1988,53
1989,213
1990,970
1991,181
1992,426
1993,93
1994,336
1995,402
1996,1186
1997,325
1998,494
1999,124
2000,457
2001,1222
2002,143
2003,235
2004,100
2005,282
2006,211
2007,336
2008,114
2009,503
2010,19
2011,200
2012,248
2013,122
2014,510
2015,281
2016,212
2017,190
2018,78
2019,225
2020,245
2021,453
2022,170
2023,65
2024,113
2025,137
2026,45
2027,70
2028,762
2029,761
2030,42
2031,161
2032,104
2033,134
2034,177
2035,153
2036,203
2037,256
2038,1010
2039,553
2040,681
2041,619
2042,350
2043,402
2044,323
2045,213
2046,317
2047,708
2048,515
2049,35
2050,18
2051,254
2052,131
2053,627
2054,696
2055,430
2056,558
2057,159
2058,275
2059,986
2060,826
2061,309
2062,297
2063,111
2064,42
2065,581
2066,931
2067,245
2068,234
2069,161
2070,154
2071,51
2072,277
2073,753
2074,39
2075,118
2076,89
2077,146
2078,363
2079,237
2080,45
2081,492
2082,171
2083,1051
2084,311
2085,28
2086,71
2087,99
2088,49
2089,24
2090,571
2091,144
2092,199
2093,595
2094,274
2095,375
2096,340
2097,419
2098,99
2099,246
2100,747
2101,291
2102,121
2103,182
2104,107
2105,1540
2106,16
2107,537
2108,67
2109,90
2110,329
2111,289
2112,634
2113,246
2114,142
2115,316
2116,65
2117,61
2118,156
2119,27
2120,603
2121,616
2122,114
2123,788
2124,55
2125,504
2126,715
2127,172
2128,415
2129,525
2130,886
2131,209
2132,294
2133,635
2134,96
2135,422
2136,445
2137,587
2138,488
2139,1970
2140,45
2141,331
2142,852
2143,496
2144,146
2145,246
2146,413
2147,44
2148,130
2149,475
2150,100
2151,373
2152,149
2153,167
2154,270
2155,793
2156,1102
2157,25
2158,463
2159,156
2160,463
2161,1260
2162,213
2163,137
2164,391
2165,128
2166,8
2167,14
2168,41
2169,448
2170,286
2171,237
2172,379
2173,49
2174,47
2175,128
2176,1744
2177,98
2178,248
2179,937
2180,333
2181,48
2182,504
2183,130
2184,188
2185,1038
2186,55
2187,304
2188,145
2189,1435
2190,217
2191,310
2192,616
2193,225
2194,124
2195,28
2196,208
2197,162
2198,456
2199,87
2200,775
2201,67
2202,345
2203,177
2204,3
2205,276
2206,828
2207,410
2208,128
2209,394
2210,434
2211,145
2212,377
2213,81
2214,436
2215,203
2216,150
2217,608
2218,996
2219,3
2220,134
2221,207
2222,204
2223,209
2224,234
2225,27
2226,561
2227,55
2228,425
